PointNumber          x          y
256             0.072901      0.263509
257             0.192138      0.241659
258             0.159415      0.330488
259             0.191684      0.295593
260             0.253576      0.487418
261             0.247068      0.511588
262             0.195353      0.433146
263             0.177942      0.519687
264             0.057650      0.454738
265             0.144163      0.422815
266             0.126753      0.509356
267             0.164844      0.472729
268             0.145275     -0.935998
269             0.214354     -0.917905
270             0.084419     -0.887789
271             0.184319     -0.925772
272             0.153525     -0.834592
273             0.040431      0.671564
274             0.040431      0.614400
275             0.109534      0.594705
276             0.240894      0.581138
277             0.227736      0.618967
278             0.245900      0.562546
279             0.176774      0.570644
280             0.214865      0.534016
281             0.199113      0.689968
282             0.030491      0.784884
283             0.030491      0.740912
284             0.084033      0.755578
285             0.070468      0.800448
286             0.127012      0.748847
287             0.027334      0.870275
288             0.067310      0.852015
289             0.049949      0.897335
290             0.142504      0.847118
291             0.148082      0.833174
292             0.132278      0.861063
293             0.105178      0.833217
294             0.016504      0.950865
295             0.039119      0.931892
296             0.077300      0.934730
297             0.069863      0.944956
298             0.057152      0.926677
299             0.077240     -0.576280
300             0.077240     -0.675182
301             0.146345     -0.693209
302             0.066295     -0.386000
303             0.066295     -0.484903
304             0.187316     -0.381343
305             0.141890     -0.519234
306             0.080032     -0.126001
307             0.214314     -0.103808
308             0.148845     -0.041457
309             0.396760     -0.282076
310             0.293355     -0.298263
311             0.268911     -0.882760
312             0.324832     -0.867957
313             0.208082     -0.799446
314             0.311303     -0.769532
315             0.221751     -0.858231
316             0.063692      0.199795
317             0.063692      0.100892
318             0.182929      0.177945
319             0.132505      0.086534
320             0.134948      0.214030
321             0.281695      0.199526
322             0.044164      0.405585
323             0.044164      0.306682
324             0.130678      0.373662
325             0.115421      0.320918
326             0.100169      0.413245
327             0.474390     -0.260571
328             0.258455     -0.056700
329             0.192986      0.005651
330             0.287076      0.024549
331             0.202560     -0.058557
332             0.284955      0.405200
333             0.213574      0.390402
334             0.245843      0.355507
335             0.234254      0.440315
336             0.526211     -0.061653
337             0.536079     -0.091259
338             0.460029     -0.101399
339             0.034199      0.567425
340             0.034199      0.493111
341             0.103302      0.547729
342             0.090204      0.500771
343             0.072985      0.586120
344             0.146795      0.594804
345             0.116477      0.633195
346             0.183717      0.609134
347             0.162531      0.659683
348             0.037561      0.709235
349             0.091103      0.723902
350             0.076347      0.670767
351             0.066408      0.740114
352             0.114974      0.713206
353             0.100219      0.660071
354             0.146272      0.686559
355             0.137479      0.660170
356             0.097349      0.697742
357             0.109787      0.889774
358             0.117653      0.879048
359             0.090553      0.851203
360             0.076265      0.874110
361             0.114133      0.855313
362             0.110303      0.764278
363             0.096738      0.809149
364             0.085608      0.780490
365             0.128588      0.773759
366             0.120318      0.813259
367             0.199282      0.727742
368             0.205003      0.712009
369             0.193704      0.742616
370             0.177214      0.708113
371             0.164200      0.744241
372             0.020435      0.846766
373             0.020435      0.812941
374             0.060411      0.828506
375             0.049281      0.799847
376             0.046123      0.851414
377             0.013212      0.909459
378             0.013212      0.883440
379             0.035828      0.910501
380             0.038901      0.888088
381             0.163250      0.803203
382             0.158959      0.813929
383             0.147905      0.778583
384             0.139635      0.818084
385             0.131196      0.794015
386             0.185656      0.774660
387             0.175787      0.789462
388             0.189946      0.763218
389             0.160442      0.764843
390             0.179346      0.750756
391             0.163050      0.785099
392             0.011419      0.942908
393             0.011419      0.922893
394             0.034035      0.923934
395             0.026278      0.936078
396             0.022986      0.914687
397             0.056565      0.960330
398             0.062285      0.952463
399             0.049575      0.934184
400             0.041818      0.946327
401             0.059851      0.941112
402             0.048016      0.968883
403             0.038148      0.975462
404             0.018411      0.961711
405             0.029567      0.976177
406             0.033270      0.954881
407             0.043726      0.957173
408             0.065933     -0.203025
409             0.065933     -0.301928
410             0.186954     -0.297271
411             0.130583     -0.343785
412             0.144320     -0.182689
413             0.319002     -0.492338
414             0.251452     -0.406341
415             0.206026     -0.544232
416             0.195081     -0.452855
417             0.367582     -0.445472
418             0.403437     -0.343288
419             0.300032     -0.359476
420             0.349700     -0.322910
421             0.307798     -0.430988
422             0.401651     -0.564803
423             0.385407     -0.669382
424             0.465124     -0.656582
425             0.258892     -0.151946
426             0.245631     -0.268384
427             0.202997     -0.153802
428             0.295299     -0.231819
429             0.188898     -0.230827
430             0.390390     -0.864273
431             0.449600     -0.842892
432             0.423857     -0.852188
433             0.376861     -0.765848
434             0.341866     -0.819402
435             0.190963     -0.740971
436             0.294184     -0.711057
437             0.197453     -0.658373
438             0.259189     -0.764610
439             0.038391      0.003605
440             0.038391     -0.095298
441             0.107204     -0.010754
442             0.116779     -0.074962
443             0.424280     -0.466245
444             0.460135     -0.364061
445             0.508775     -0.460651
446             0.413076     -0.404895
447             0.234594      0.150089
448             0.184170      0.058678
449             0.278261      0.077576
450             0.177405      0.122461
451             0.237885      0.041578
452             0.495095     -0.291810
453             0.518989     -0.249927
454             0.582344     -0.477682
455             0.546120     -0.543745
456             0.525099     -0.641117
457             0.581836     -0.574447
458             0.484490     -0.607321
459             0.607358     -0.722567
460             0.628740     -0.688027
461             0.546903     -0.686999
462             0.566269     -0.637738
463             0.313565     -0.071875
464             0.342187      0.009375
465             0.389417     -0.077915
466             0.391857     -0.018316
467             0.301811     -0.026623
468             0.372606      0.068678
469             0.422276      0.040987
470             0.351091      0.302149
471             0.366895      0.278908
472             0.282828      0.237995
473             0.282374      0.291930
474             0.324405      0.231947
475             0.435994     -0.251142
476             0.421703     -0.156931
477             0.382258     -0.230764
478             0.459888     -0.209259
479             0.568033     -0.165212
480             0.554875     -0.125738
481             0.517011     -0.188207
482             0.516941     -0.123247
483             0.664803     -0.339807
484             0.656221     -0.319784
485             0.609287     -0.351882
486             0.411990      0.232606
487             0.425005      0.207506
488             0.399834      0.250483
489             0.357344      0.203522
490             0.358476      0.241992
491             0.339271      0.339768
492             0.309666      0.379242
493             0.270554      0.329549
494             0.277186      0.371613
495             0.313717      0.308036
496             0.293176      0.429620
497             0.280018      0.469094
498             0.242476      0.464735
499             0.260697      0.421992
500             0.521352     -0.026492
501             0.512056      0.000468
502             0.457610     -0.006639
503             0.493286     -0.053606
504             0.680778     -0.601438
505             0.688215     -0.577267
506             0.642520     -0.569923
507             0.221435      0.651690
508             0.213998      0.672142
509             0.207395      0.617697
510             0.186208      0.668246
511             0.177415      0.641857
512             0.099479      0.906780
513             0.083031      0.921583
514             0.062884      0.913529
515             0.065957      0.891116
516             0.073160      0.920458
517             0.089200      0.890304
518             0.126995      0.729874
519             0.158293      0.703227
520             0.145279      0.739354
521             0.133241      0.703713
522             0.164183      0.725268
523             0.339077     -0.556548
524             0.322833     -0.661126
525             0.226101     -0.608442
526             0.279293     -0.542064
527             0.361941     -0.614530
528             0.270719     -0.656204
529             0.425260     -0.517418
530             0.509755     -0.511824
531             0.448125     -0.575400
532             0.470754     -0.476842
533             0.508100     -0.559936
534             0.492461     -0.823494
535             0.530290     -0.797178
536             0.499439     -0.733650
537             0.450285     -0.796320
538             0.306657     -0.127280
539             0.382509     -0.133320
540             0.343065     -0.207154
541             0.295340     -0.177275
542             0.350014     -0.097204
543             0.382299     -0.176220
544             0.345734      0.099863
545             0.343645      0.166328
546             0.390889      0.107994
547             0.377716      0.176373
548             0.632553     -0.532929
549             0.631406     -0.484277
550             0.268341      0.172165
551             0.312007      0.099652
552             0.309918      0.166117
553             0.262817      0.116681
554             0.330290      0.138967
555             0.649692     -0.656813
556             0.662850     -0.620629
557             0.624592     -0.589114
558             0.587221     -0.606524
559             0.609025     -0.652406
560             0.647905     -0.602001
561             0.490342     -0.326973
562             0.557440     -0.358052
563             0.499981     -0.388581
564             0.534941     -0.316329
565             0.554396     -0.455437
566             0.572855     -0.389925
567             0.515396     -0.420454
568             0.588966     -0.437486
569             0.545603     -0.383366
570             0.584959     -0.196264
571             0.600763     -0.217646
572             0.533936     -0.219260
573             0.554642     -0.250499
574             0.552663     -0.188779
575             0.448396     -0.134541
576             0.486582     -0.186870
577             0.486513     -0.121909
578             0.448186     -0.177441
579             0.505309     -0.156389
580             0.499487      0.049061
581             0.506638      0.028323
582             0.452192      0.021217
583             0.447676      0.057038
584             0.483010      0.009412
585             0.430123     -0.082512
586             0.432562     -0.022914
587             0.468239     -0.069880
588             0.397628     -0.046396
589             0.463380     -0.034719
590             0.354794      0.043074
591             0.404464      0.015383
592             0.369529     -0.008099
593             0.399949      0.051205
594             0.634433     -0.261722
595             0.645589     -0.287752
596             0.622277     -0.245274
597             0.576156     -0.278127
598             0.623249     -0.307121
599             0.591103     -0.247460
600             0.690363     -0.401759
601             0.693689     -0.428367
602             0.642735     -0.440014
603             0.481023      0.109194
604             0.469510      0.138799
605             0.439081      0.095789
